"Przelewy24 is a group of almost 200 e-commerce enthusiasts setting trends on the payment market and turning clients' visions into innovative products. Thanks to this, we provide the widest range of payment services on the market, the highest level of service and comprehensive technological solutions.","Przelewy24 to grupa prawie 200 entuzjastów e-commerce, która wyznacza trendy na rynku płatności i zmienia wizje klientów w innowacyjne produkty. Dzieki temu zapewniamy najszerszy wachlarz usług płatniczych na rynku, najwyższy poziom obsługi i kompleksowe rozwiązania technologiczne."
"Main settings","Główne ustawienia"
"Payment gateway","Bramka płatnicza"
"Card payment","Płatność kartą"
"BLIK payment","Płatność BLIK"
"Google Pay payment","Płatność Google Pay"
"Apple Pay payment","Płatność Apple Pay"
"Instalment payments","Płatności ratalne"
"Compatibility","Zgodność"
"Enabled","Włączone"
"Merchant ID","ID Sprzedawcy"
"Pos ID","ID Sklepu"
"CRC key","Klucz CRC"
"API key","Klucz API"
"Test mode","Tryb testowy"
"Test Access","Przetestuj dostęp"
"Configuration must be saved before test","Konfiguracja musi zostać zapisana przed przetestowaniem"
"Allowed Currencies","Dozwolone waluty"
"Allowed Countries","Dozwolone kraje"
"Payment from Specific countries","Płatność z wybranych krajów"
"Debug","Tryb debugowania"
"Sort order","Kolejność sortowania"
"Select payment method in store","Wybierz metodę płatności w sklepie"
"Wait for transaction result","Czekaj na wynik transakcji"
"If set to yes, customer will be redirected back to the shop upon receiving payment confirmation.","Jeśli włączone, klient będzie przekierowany do sklepu po potwierdzeniu płatności."
"Promote eRaty Santander Consumer Bank S.A.","Promuj eRaty Santander Consumer Bank S.A."
"If set to yes, method eRaty Santander Consumer Bank S.A. will be displayed on top of payment methods list.","Jeśli włączone, metoda eRaty Santander Consumer Bank S.A. będzie wyświetlana jako pierwsza na liście dostępnych metod płatności."
"Automatically update payment status","Automatycznie aktualizuj status płatności"
"Automatically check for payment status update every 30 minutes. Order will be automatically cancelled if there is no payment after 30 minutes from order placement.","Automatycznie sprawdzaj status płatności co 30 minut. Zamówienie zostanie anulowane jeżeli nie zostało opłacone przez 30 minut."
"Payment methods","Metody płatności"
"If method is not listed here it will be automatically appended to the end of list in store if active.","Jeżeli metoda nie znajduje się na tej liście to zostanie automatycznie dodana na koniec listy, jeżeli jest aktywna."
"Credit card method ID","ID metody karty kredytowej"
"Apple Pay method ID","ID metody Apple Pay"
"Google Pay method ID","ID metody Google Pay"
"This ID is automatically updated during payment methods list update.","ID jest automatycznie zaktualizowane podczas aktualizacji listy metod płatności."
"Przelewy24 error: %1","Błąd Przelewy24: %1"
"Przelewy24 error (%1: %2): %3","Błąd Przelewy24 (%1: %2): %3"
"Unknown error","Nieznany błąd"
Method,Metoda
Configure,Skonfiguruj
Close,Zamknij
"Merchant Identifier","Identyfikator sprzedawcy"
"Certificate","Certyfikat"
"SSL Key","Klucz SSL"
"Order: #%1","Zamówienie: #%1"
"Transaction has been declined. Please try again later.","Transakcja została odrzucona. Prosimy spróbować później."
"Payment update failed. Please try again later.","Aktualizacja statusu płatności się nie powiodła. Prosimy spróbować później."
"Transaction %1 is already closed","Transakcja %1 jest już zamknięta"
"Transaction %1 not found","Transakcja %1 nie została znaleziona"
"Can't renew transaction, transaction not found.","Nie można ponowić płatności, transakcja nie została znaleziona."
"Can't renew transaction, different payment provider.","Nie można ponowić płatności, inna metoda płatności."
"Can't renew transaction, payment already made.","Nie można ponowić płatności, płatność została dokonana."
"Can't renew transaction, payment already processed.","Nie można ponowić płatności, płatność została już przetworzona."
"Can't renew transaction, payment expired.","Nie można ponowić płatności, płatność wygasła."
"<a target=""_blank"" href=""https://www.przelewy24.pl/regulations"">regulations</a>","<a target=""_blank"" href=""https://www.przelewy24.pl/regulamin"">regulaminem</a>"
"<a target=""_blank"" href=""https://www.przelewy24.pl/information-obligation-gdpr-payer"">information obligation</a>","<a target=""_blank"" href=""https://www.przelewy24.pl/obowiazek-informacyjny-platnik"">obowiązkiem informacyjnym</a>"
"I hereby state that I have read the %1 and %2 of Przelewy24.","Oświadczam, że zapoznałem się z %1 i %2 serwisu Przelewy24."
"Invalid signature for refund %1","Nieprawidłowa sygnatura zwrotu %1"
"Refund %1 is already closed","Zwrot %1 jest już zamknięty"
"Invalid signature for transaction %1","Nieprawidłowa sygnatura transakcji %1"
"Display order","Kolejność wyświetlania"
"Update list","Aktualizuj listę"
"Use default","Użyj domyślnej"
"Connection error!","Błąd połączenia!"
"Test was successful!","Test przebiegł pomyślnie!"
"Your order has been paid.","Twoje zamówienie zostało opłacone"
"Please select payment method","Proszę wybrać metodę płatności"
"Selected payment method:","Wybrana metoda płatności:"
"To use this payment method you must have one of those methods enabled in Przelewy24: 218, 241, 242.","Aby skorzystać z tej metody płatności jedna z nastpujących metod musi być włączona w panelu Przelewy24: 218, 241, 242."
"Card Holder","Imię i nazwisko"
"Card Number","Numer karty"
"CVV","CVV"
"Expiration date","Data ważności"
"Expiration Date","Data ważności"
"Pay with card","Zapłać kartą"
"Please refresh page and try again.","Odśwież stronę i spróbuj ponownie."
"Pay again","Zapłać ponownie"
"Payment failed, please try again.","Płatność nie powiodła się, proszę spróbować ponownie."
"Please try again.","Proszę spróbować ponownie."
"Invalid transaction ID","Niepoprawny identyfikator transakcji"
"Blik code is missing.","Brak kodu BLIK."
"Payment for order not found.","Płatność za zamówienie nie została znaleziona."
"The payment was processed correctly.","Płatność została przetworzona poprawnie."
"Confirm payment (3DS)","Potwierdź płatność (3DS)"
"The confirmation time has expired.","Czas na potwierdzenie upłynął."
"Confirm payment in banking application.","Potwierdź płatność w aplikacji bankowej."
"Incorrect BLIK code was entered. Try again.","Podano błędny kod BLIK. Spróbuj ponownie."
"Payment failed. Check the reason in the banking application and try again.","Płatność nieudana. Sprawdź powód w aplikacji bankowej i spróbuj ponownie"
"Payment failed - not confirmed on time in the banking application. Try again.","Płatność nieudana - nie została potwierdzona na czas w aplikacji bankowej. Spróbuj ponownie."
"An error occurred while redirecting to Przelewy24.","Wystąpił błąd podczas przekierowania do Przelewy24."
"Go to Przelewy24 and pay for the order","Przejdź do Przelewy24 i opłać zamówienie"
"Please check your email for payment details or contact customer support.","Prosimy sprawdzić e-mail w celu uzyskania szczegółów dotyczących płatności lub skontaktować się z obsługą klienta."
"Transaction has been declined. Please try again.","Transakcja została odrzucona. Spróbuj ponownie."
"Transaction has been declined. Please refresh page and try again.","Transakcja została odrzucona. Odśwież stronę i spróbuj ponownie."
"Enable Przelewy24 Card Vault","Włącz zapisywanie kart płatniczych"
"Enable Click to Pay","Włącz Click to Pay"
"Enable Click to Pay for guests","Włącz Click to Pay dla gości"
"Payment confirmation error time","Czas wyświetlania błędu potwierdzenia płatności"
"Enable Przelewy24 BLIK Vault","Włącz zapisywanie aliasów BLIK"
"Show on PDP","Pokaż na stronie produktu"
"Show on Cart","Pokaż w koszyku"
"Show on Checkout","Pokaż w checkout"
"Banner size","Rozmiar baneru"
"Show simulator","Pokaż symulator"
"Method ID","ID metody"
"Currency","Waluta"
"Lang","Język"
"<span class='przelewy24-tooltip-title'>Merchant ID</span><div class='przelewy24-tooltip-content'><div>It is your login to the P24 Transaction Panel. It can be found as well in the P24 Transaction panel in<br><strong>""My account""</strong> => <strong>""Account Verification""</strong> => <strong>My stores</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-general-merchantid1.png' alt=''/></div>","<span class='przelewy24-tooltip-title'>ID Sprzedawcy</span><div class='przelewy24-tooltip-content'><div>To jest Twój login do Panelu Transakcyjnego P24. Możesz go również znaleźć w Panelu Transakcyjnym P24 w<br><strong>""Moje konto""</strong> => <strong>""Weryfikacja konta""</strong> => <strong>Moje sklepy</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-general-merchantid1.png' alt=''/></div>"
"<span class='przelewy24-tooltip-title'>Pos ID</span><div class='przelewy24-tooltip-content'><div>It is your login to the P24 Transaction Panel. It can be found as well in the P24 Transaction panel in<br><strong>""My account""</strong> => <strong>""Account Verification""</strong> => <strong>My stores</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-general-merchantid1.png' alt=''/></div>","<span class='przelewy24-tooltip-title'>ID Sklepu</span><div class='przelewy24-tooltip-content'><div>To jest Twój login do Panelu Transakcyjnego P24. Możesz go również znaleźć w Panelu Transakcyjnym P24 w<br><strong>""Moje konto""</strong> => <strong>""Weryfikacja konta""</strong> => <strong>Moje sklepy</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-general-merchantid1.png' alt=''/></div>"
"<span class='przelewy24-tooltip-title'>CRC key</span><div class='przelewy24-tooltip-content'><div>The CRC key and the API key are the necessary configuration data needed for connection with the P24 system. You can find them in the P24 Transaction Panel in<br><strong>""My account""</strong> => <strong>""API Configuration""</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-crc_key.png' alt=''/></div>","<span class='przelewy24-tooltip-title'>Klucz CRC</span><div class='przelewy24-tooltip-content'><div>Klucz CRC oraz klucz API to niezbędne dane konfiguracyjne potrzebne do połączenia z systemem P24. Możesz je znaleźć w Panelu Transakcyjnym P24 w<br><strong>""Moje konto""</strong> => <strong>""Konfiguracja API""</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-crc_key.png' alt=''/></div>"
"<span class='przelewy24-tooltip-title'>API key</span><div class='przelewy24-tooltip-content'><div>The CRC key and the API key are the necessary configuration data needed for connection with the P24 system. You can find them in the P24 Transaction Panel in<br><strong>""My account""</strong> => <strong>""API Configuration""</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-api_key.png' alt=''/></div>","<span class='przelewy24-tooltip-title'>Klucz API</span><div class='przelewy24-tooltip-content'><div>Klucz CRC oraz klucz API to niezbędne dane konfiguracyjne potrzebne do połączenia z systemem P24. Możesz je znaleźć w Panelu Transakcyjnym P24 w<br><strong>""Moje konto""</strong> => <strong>""Konfiguracja API""</strong>.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-api_key.png' alt=''/></div>"
"<span class='przelewy24-tooltip-title'>Test mode</span><div class='przelewy24-tooltip-content'><div>The test mode determines whether the plugin connects to the Przelewy24 production or test environment. Select ""No"" for real transactions or ""Yes"" for testing (use sandbox keys).<br><br><strong>IP address</strong><br>To ensure proper connection, enter your store's server IP address in the Przelewy24 panel (""My account"" → ""API Configuration""). If unsure, contact your hosting provider.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-ip.png' alt=''/></div>","<span class='przelewy24-tooltip-title'>Tryb testowy</span><div class='przelewy24-tooltip-content'><div>Tryb testowy określa, czy wtyczka łączy się ze środowiskiem produkcyjnym lub testowym Przelewy24. Wybierz ""Nie"" dla rzeczywistych transakcji lub ""Tak"" dla testów (użyj kluczy sandbox).<br><br><strong>Adres IP</strong><br>W celu zapewnienia prawidłowego połączenia wprowadź adres IP serwera swojego sklepu w panelu Przelewy24 (""Moje konto"" → ""Konfiguracja API""). W razie wątpliwości skontaktuj się z dostawcą hostingu.</div><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-ip.png' alt=''/></div>"
"<span class='przelewy24-tooltip-title'>Card payment</span><div class='przelewy24-tooltip-content'><div>Enabling this option allows for card payments directly on your website.<br><strong>Before turning this option on, please contact P24 to enable adequate services on your account for on-site card payments</strong>.</div><div><em>Example view for the buyer:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_karta_lvl0.png' alt=''/></div></div>","<span class='przelewy24-tooltip-title'>Płatność kartą</span><div class='przelewy24-tooltip-content'><div>Włączenie tej opcji umożliwia płatności kartą bezpośrednio na Twojej stronie internetowej.<br><strong>Przed włączeniem tej opcji skontaktuj się z P24, aby włączyć odpowiednie usługi na swoim koncie dla płatności kartą</strong>.</div><div><em>Przykładowy widok dla kupującego:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_karta_lvl0.png' alt=''/></div></div>"
"<span class='przelewy24-tooltip-title'>Card Vault</span><div class='przelewy24-tooltip-content'><div>Enabling this option allows for card payments using a saved alias. This functionality is available only for logged-in buyers who have an account in the store. It becomes accessible after the customer's first payment, provided they have agreed to save their card details.<br><strong>Before turning this option on, please contact P24 to enable the necessary services on your account for on-site card payments</strong>.</div></div>","<span class='przelewy24-tooltip-title'>Zapisywanie kart płatniczych</span><div class='przelewy24-tooltip-content'><div>Włączenie tej opcji umożliwia zapisanie karty. Ta funkcjonalność jest dostępna tylko dla zalogowanych klientów. Jest dostępna po pierwszej płatności klienta, pod warunkiem, że zgodził się on na zapisanie danych swojej karty.<br><strong>Przed włączeniem tej opcji skontaktuj się z P24, aby włączyć niezbędne usługi na swoim koncie do płatności kartą</strong>.</div></div>"
"<span class='przelewy24-tooltip-title'>BLIK Level 0 payment</span><div class='przelewy24-tooltip-content'><div>Enabling this option will allow the payer to enter the BLIK code directly on your website.<br><strong>Before turning this option on, please contact P24 to enable adequate services on your account for on-site Blik payments</strong>.</div><div><em>Example view for the buyer:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_blik_lvl0.png' alt=''/></div></div>","<span class='przelewy24-tooltip-title'>Płatność BLIK</span><div class='przelewy24-tooltip-content'><div>Włączenie tej opcji umożliwi płatnikowi wprowadzenie kodu BLIK bezpośrednio na Twojej stronie internetowej.<br><strong>Przed włączeniem tej opcji skontaktuj się z P24, aby włączyć odpowiednie usługi na swoim koncie do płatności Blik</strong>.</div><div><em>Przykładowy widok dla kupującego:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_blik_lvl0.png' alt=''/></div></div>"
"<span class='przelewy24-tooltip-title'>BLIK Vault payment</span><div class='przelewy24-tooltip-content'><div>Enabling this option allows for BLIK payments, using saved alias. (Available for a customer after their first payment, with the agreement checked).<br><strong>Before turning this option on, please contact P24 to enable adequate services on your account for on-site Blik payments</strong>.</div><div><em>Example view for the buyer:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_blik_oneclick.png' alt=''/></div></div>","<span class='przelewy24-tooltip-title'>Płatność BLIK One Click</span><div class='przelewy24-tooltip-content'><div>Włączenie tej opcji umożliwia płatności BLIK przy użyciu zapisanego aliasu. (Dostępne dla klienta po pierwszej płatności przy zaznaczeniu odpowiedniej opcji).<br><strong>Przed włączeniem tej opcji skontaktuj się z P24, aby włączyć odpowiednie usługi na swoim koncie dla płatności Blik</strong>.</div><div><em>Przykładowy widok dla kupującego:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_blik_oneclick.png' alt=''/></div></div>"
"<span class='przelewy24-tooltip-title'>Merchant Identifier</span><div class='przelewy24-tooltip-content'><div>In order to obtain configuration data for Apple Pay on-site payments, please follow the instructions from our documentation below: <a href='https://developers.przelewy24.pl/index.php?en#tag/APay-Description/Creating-Apple-Pay-Payment-Processing-Certificate'>Creating Apple Pay Payment Processing Certificate</a>.</div></div>","<span class='przelewy24-tooltip-title'>Identyfikator sprzedawcy</span><div class='przelewy24-tooltip-content'><div>Aby uzyskać dane konfiguracyjne dla płatności Apple Pay, postępuj zgodnie z instrukcjami zawartymi w naszej dokumentacji: <a href='https://developers.przelewy24.pl/index.php?pl#tag/APay-Description/Tworzenie-Apple-Pay-Payment-Processing-Certificate'>Tworzenie Apple Pay Payment Processing Certificate</a>.</div></div>"
"<span class='przelewy24-tooltip-title'>Certificate</span><div class='przelewy24-tooltip-content'><div>In order to obtain configuration data for Apple Pay on-site payments, please follow the instructions from our documentation below: <a href='https://developers.przelewy24.pl/index.php?en#tag/APay-Description/Creating-Apple-Pay-Payment-Processing-Certificate'>Creating Apple Pay Payment Processing Certificate</a>.</div></div>","<span class='przelewy24-tooltip-title'>Certyfikat</span><div class='przelewy24-tooltip-content'><div>Aby uzyskać dane konfiguracyjne dla płatności Apple Pay, postępuj zgodnie z instrukcjami zawartymi w naszej dokumentacji: <a href='https://developers.przelewy24.pl/index.php?pl#tag/APay-Description/Tworzenie-Apple-Pay-Payment-Processing-Certificate'>Tworzenie Apple Pay Payment Processing Certificate</a>.</div></div>"
"<span class='przelewy24-tooltip-title'>Enable Installment widget</span><div class='przelewy24-tooltip-content'><div>Enabling this option will display a widget/simulator with information about the available installment offer. Before enabling this option, please contact Przelewy24.<br>Non-standard Magento templates may not allow displaying additional content in the product page, cart page, and checkout page areas.</div><div><em>Example view for the buyer:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-simulator1.png' alt=''/></div></div>","<span class='przelewy24-tooltip-title'>Włącz widżet rat</span><div class='przelewy24-tooltip-content'><div>Włączenie tej opcji spowoduje wyświetlenie widżetu/symulatora z informacją o dostępnej ofercie ratalnej. Przed włączeniem tej opcji skontaktuj się z Przelewy24.<br>Niestandardowe szablony Magento mogą uniemożliwiać wyświetlanie dodatkowej zawartości na stronie produktu, w koszyku oraz na stronie zamówienia.</div><div><em>Przykładowy widok dla kupującego:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-simulator1.png' alt=''/></div></div>"
"<span class='przelewy24-tooltip-title'>Widget size options</span><div class='przelewy24-tooltip-content'><div>Choose the Size of the Displayed Element: Options are MINI and MAX</div><div><em>Example view for the buyer:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-installment3.png' alt=''/></div></div>","<span class='przelewy24-tooltip-title'>Opcje rozmiaru widżetu</span><div class='przelewy24-tooltip-content'><div>Wybierz rozmiar wyświetlanego elementu: Opcje to MINI i MAX</div><div><em>Przykładowy widok dla kupującego:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-installment3.png' alt=''/></div></div>"
"<span class='przelewy24-tooltip-title'>Installment simulator modal</span><div class='przelewy24-tooltip-content'><div>When a customer clicks on the widget, a pop-up window may appear with information about the installment simulation.</div><div><em>Example view for the buyer:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/en_p24_setting-simulator2.png' alt=''/></div></div>","<span class='przelewy24-tooltip-title'>Modal symulator rat</span><div class='przelewy24-tooltip-content'><div>Gdy klient kliknie na widżet, może pojawić się okno pop-up z informacjami o symulacji rat.</div><div><em>Przykładowy widok dla kupującego:</em><img src='https://www.przelewy24.pl/storage/app/media/do-pobrania/gotowe-wtyczki/magento/helper/pl_p24_setting-simulator2.png' alt=''/></div></div>"
"If you don't have a Przelewy24 account","Jeśli nie posiadasz konta Przelewy24"
"register here","zarejestruj się tutaj"
"After registration, you'll receive the necessary configuration details.","Po rejestracji otrzymasz niezbędne dane do konfiguracji."
"To test orders, switch the module mode to sandbox and enter the CRC key and API key from the test panel. After testing, replace the key with the production one.","Aby przetestować płatności przełącz tryb modułu na sandbox i wprowadź klucze CRC oraz API z panelu testowego. Po przetestowaniu zamień klucz na produkcyjny."
"<a href="https://developers.przelewy24.pl/index.php?en#tag/Set-up-and-test-your-accounts/Create-your-sandbox-account-(sandbox)">Sandbox activation guide</a>","<a href="https://developers.przelewy24.pl/index.php?pl#tag/Srodowisko-produkcyjne-i-sandbox/Konfiguracja-konta-testowego-(sandbox)">Konfiguracja konta testowego</a>"
"Are you sure you want to delete this BLIK alias?","Czy na pewno chcesz usunąć ten alias BLIK?"
"Alias for: %1","Alias dla: %1"
"Unable to pay using Google Pay.","Brak możliwości opłacenia zamówienia używając Google Pay."
"Google Merchant ID: can have 12-18 characters","Google Merchant ID: może mieć 12-18 znaków"
"Authentication methods","Metody uwierzytelniania"
"Card networks","Sieci kart płatniczych"
"Please refer to the Google Pay API reference","Więcej informacji w dokumentacji Google Pay API"
"Transfer online","Przelew online"
"Credit card","Karta płatnicza"
"Quick transfer from your bank","Wykonaj szybki przelew ze swojego banku"
"Enter 6 digit BLIK code","Wprowadź 6-cyfrowy kod BLIK"
"Enter 6 digit BLIK code and confirm transaction on your device","Wprowadź 6-cyfrowy kod BLIK i potwierdź na swoim urządzeniu"
"Pay with BLIK","Zapłać BLIKiem"
"Complete your payment card details","Uzupełnij dane swojej karty płatniczej"
"Pay with Google Pay","Zapłać z Google Pay"
"Save for later use.","Zapisz do późniejszego wykorzystania."
"Place Order","Złóż zamówienie"
"Pay with Apple Pay","Zapłać z Apple Pay"
"Unable to initialize ApplePaySession","Nie można utworzyć ApplePaySession"
"Time limit","Limit czasu"
"Time limit in minutes after order placement when payment can be made. Please enter 0 for no limit, order won't be cancelled.","Limit czasu wyrażony w minutach, w czasie którego zamówienie może zostać opłacone. W przypadku ustawienia wartości 0 zamówienia nie będą anulowane."
"Extra time limit","Dodatkowy limit czasu"
"Extra time limit methods","Metody używające dodatkowego limitu czasu"
"Time limit in minutes after order placement when payment can be made. Used for methods specified below.","Limit czasu wyrażony w minutach, w czasie którego zamówienie może zostać opłacone. Używany dla metod podanych poniżej."
"Internal Przelewy24 payment methods IDs which will use extra time limit. Comma separated.","Wewnętrzne identyfikatory metod płatności Przelewy24, które będą korzystać z dodatkowego limitu czasu. Oddzielone przecinkiem."
"Payment made, it can\'t be denied.","Płatność zakończona, nie może być anulowana."
"Thank you for your payment","Dziękujemy za wpłatę"
"Pay for the order","Opłać zamówienie"
"<a href=""%1"">Click here</a>","<a href=""%1"">Kliknij tutaj</a>"
"Refund Compatibility Enabled","Włącz kompatybilność zwrotów"
"Enable this option to make refunds for orders paid with Dialcom_Przelewy module.","Włącz tę opcję, aby wykonać zwroty zamówień opłaconych modułem Dialcom_Przelewy"
"Przelewy24 refunds","Przelewy24 zwroty"
"Przelewy24 Refund","Przelewy24 Zwrot"
"Amount to refund","Kwota do zwrotu"
"Refund","Zwróć"
"Refunds list","Lista zwrotów"
"No refunds","Brak zwrotów"
"Request ID","ID żądania"
"Date","Data"
"Amount","Kwota"
"Status","Status"
"Completed","Zrealizowany"
"Waiting for completion","Oczekuje na realizację"
"Waiting for Przelewy24 approval","Oczekuje na akceptację Przelewy24"
"Rejected","Odrzucony"
"Refund can't be created, order doesn't exist.","Nie można stworzyć zwrotu, zamówienie nie istnieje."
"Refund can't be created: %1","Nie można stworzyć zwrotu: %1"
"You have refunded %1","Zwróciłeś %1"
"Unknown","Nieznany"
"Payment method","Metoda płatności"
